number,Sat,X,Y,Z
1,Satellite/10101,6009.77832,-3446.982507,-2.38E-12
2,Satellite/10102,6167.709168,-3118.642997,482.2378339
3,Satellite/10103,6278.700026,-2766.568731,960.8055467
4,Satellite/10104,6341.906185,-2393.439206,1432.060949
5,Satellite/10105,6356.846609,-2002.094164,1892.417503
6,Satellite/10106,6323.407592,-1595.511976,2338.371617
7,Satellite/10107,6241.843625,-1176.786979,2766.529311
8,Satellite/10108,6112.775459,-749.1059217,3173.632047
9,Satellite/10109,5937.18538,-315.7237164,3556.581526
10,Satellite/10110,5716.409736,120.061337,3912.463273
11,Satellite/10111,5452.128763,554.9326512,4238.568811
12,Satellite/10112,5146.353797,985.5805928,4532.416282
13,Satellite/10113,4801.411971,1408.727671,4791.769328
14,Satellite/10114,4419.928501,1821.153481,5014.654116
15,Satellite/10115,4004.806707,2219.719213,5199.374358
16,Satellite/10116,3559.205915,2601.391542,5344.524222
17,Satellite/10117,3086.517417,2963.265711,5448.999029
18,Satellite/10118,2590.338658,3302.587638,5512.003664
19,Satellite/10119,2074.445858,3616.774879,5533.058623
20,Satellite/10120,1542.765272,3903.436279,5512.003664
21,Satellite/10121,999.3433103,4160.390172,5448.999029
22,Satellite/10122,448.315743,4385.680984,5344.524222
23,Satellite/10123,-106.1237777,4577.594116,5199.374358
24,Satellite/10124,-659.7556325,4734.668992,5014.654116
25,Satellite/10125,-1208.366348,4855.710178,4791.769328
26,Satellite/10126,-1747.780667,4939.796478,4532.416282
27,Satellite/10127,-2273.893319,4986.287944,4238.568811
28,Satellite/10128,-2782.70027,4994.830748,3912.463273
29,Satellite/10129,-3270.329192,4965.359874,3556.581526
30,Satellite/10130,-3733.068934,4898.099614,3173.632047
31,Satellite/10131,-4167.397767,4793.561857,2766.529311
32,Satellite/10132,-4570.010187,4652.542201,2338.371617
33,Satellite/10133,-4937.84207,4476.113889,1892.417503
34,Satellite/10134,-5268.093993,4265.619647,1432.060949
35,Satellite/10135,-5558.25254,4022.661465,960.8055467
36,Satellite/10136,-5806.109429,3749.088399,482.2378339
37,Satellite/10137,-6009.77832,3446.982507,1.70E-12
38,Satellite/10138,-6167.709168,3118.642997,-482.2378339
39,Satellite/10139,-6278.700026,2766.568731,-960.8055467
40,Satellite/10140,-6341.906185,2393.439206,-1432.060949
41,Satellite/10141,-6356.846609,2002.094164,-1892.417503
42,Satellite/10142,-6323.407592,1595.511976,-2338.371617
43,Satellite/10143,-6241.843625,1176.786979,-2766.529311
44,Satellite/10144,-6112.775459,749.1059217,-3173.632047
45,Satellite/10145,-5937.18538,315.7237164,-3556.581526
46,Satellite/10146,-5716.409736,-120.061337,-3912.463273
47,Satellite/10147,-5452.128763,-554.9326512,-4238.568811
48,Satellite/10148,-5146.353797,-985.5805928,-4532.416282
49,Satellite/10149,-4801.411971,-1408.727671,-4791.769328
50,Satellite/10150,-4419.928501,-1821.153481,-5014.654116
51,Satellite/10151,-4004.806707,-2219.719213,-5199.374358
52,Satellite/10152,-3559.205915,-2601.391542,-5344.524222
53,Satellite/10153,-3086.517417,-2963.265711,-5448.999029
54,Satellite/10154,-2590.338658,-3302.587638,-5512.003664
55,Satellite/10155,-2074.445858,-3616.774879,-5533.058623
56,Satellite/10156,-1542.765272,-3903.436279,-5512.003664
57,Satellite/10157,-999.3433103,-4160.390172,-5448.999029
58,Satellite/10158,-448.315743,-4385.680984,-5344.524222
59,Satellite/10159,106.1237777,-4577.594116,-5199.374358
60,Satellite/10160,659.7556325,-4734.668992,-5014.654116
61,Satellite/10161,1208.366348,-4855.710178,-4791.769328
62,Satellite/10162,1747.780667,-4939.796478,-4532.416282
63,Satellite/10163,2273.893319,-4986.287944,-4238.568811
64,Satellite/10164,2782.70027,-4994.830748,-3912.463273
65,Satellite/10165,3270.329192,-4965.359874,-3556.581526
66,Satellite/10166,3733.068934,-4898.099614,-3173.632047
67,Satellite/10167,4167.397767,-4793.561857,-2766.529311
68,Satellite/10168,4570.010187,-4652.542201,-2338.371617
69,Satellite/10169,4937.84207,-4476.113889,-1892.417503
70,Satellite/10170,5268.093993,-4265.619647,-1432.060949
71,Satellite/10171,5558.25254,-4022.661465,-960.8055467
72,Satellite/10172,5806.109429,-3749.088399,-482.2378339
73,Satellite/10201,6787.613177,-1337.321857,372.8290072
74,Satellite/10202,6806.692175,-970.1651385,852.5521057
75,Satellite/10203,6773.968136,-595.6248776,1325.786768
76,Satellite/10204,6689.690109,-216.5515518,1788.931392
77,Satellite/10205,6554.499501,164.1698622,2238.461168
78,Satellite/10206,6369.425194,543.6418443,2670.954904
79,Satellite/10207,6135.875716,918.9763838,3083.121059
80,Satellite/10208,5855.628518,1287.316958,3471.822802
81,Satellite/10209,5530.816452,1645.860273,3834.101876
82,Satellite/10210,5163.911532,1991.877597,4167.201121
83,Satellite/10211,4757.706128,2322.735531,4468.585449
84,Satellite/10212,4315.291708,2635.916044,4735.961143
85,Satellite/10213,3840.035312,2929.035645,4967.293313
86,Satellite/10214,3335.553928,3199.863515,5160.821382
87,Satellite/10215,2805.686965,3446.338493,5315.072484
88,Satellite/10216,2254.467031,3666.584753,5428.872675
89,Satellite/10217,1686.08924,3858.92609,5501.355866
90,Satellite/10218,1104.879293,4021.898668,5531.970418
91,Satellite/10219,515.2605469,4154.26217,5520.483335
92,Satellite/10220,-78.27964296,4255.009228,5466.98204
93,Satellite/10221,-671.2240775,4323.373096,5371.873711
94,Satellite/10222,-1259.060091,4358.833485,5235.882179
95,Satellite/10223,-1837.313898,4361.120519,5060.042423
96,Satellite/10224,-2401.584636,4330.216793,4845.692688
97,Satellite/10225,-2947.577865,4266.357502,4594.464306
98,Satellite/10226,-3471.138247,4170.028654,4308.269276
99,Satellite/10227,-3968.281171,4041.96337,3989.285716
100,Satellite/10228,-4435.223079,3883.136305,3639.941282
101,Satellite/10229,-4868.410261,3694.756227,3262.894698
102,Satellite/10230,-5264.545902,3478.256824,2861.015515
103,Satellite/10231,-5620.615169,3235.285786,2437.362276
104,Satellite/10232,-5933.908161,2967.69227,1995.159239
105,Satellite/10233,-6202.040529,2677.512823,1537.771835
106,Satellite/10234,-6422.971624,2366.955888,1068.681058
107,Satellite/10235,-6595.020026,2038.384988,591.4569741
108,Satellite/10236,-6716.876344,1694.300749,109.7315451
109,Satellite/10237,-6787.613177,1337.321857,-372.8290072
110,Satellite/10238,-6806.692175,970.1651385,-852.5521057
111,Satellite/10239,-6773.968136,595.6248776,-1325.786768
112,Satellite/10240,-6689.690109,216.5515518,-1788.931392
113,Satellite/10241,-6554.499501,-164.1698622,-2238.461168
114,Satellite/10242,-6369.425194,-543.6418443,-2670.954904
115,Satellite/10243,-6135.875716,-918.9763838,-3083.121059
116,Satellite/10244,-5855.628518,-1287.316958,-3471.822802
117,Satellite/10245,-5530.816452,-1645.860273,-3834.101876
118,Satellite/10246,-5163.911532,-1991.877597,-4167.201121
119,Satellite/10247,-4757.706128,-2322.735531,-4468.585449
120,Satellite/10248,-4315.291708,-2635.916044,-4735.961143
121,Satellite/10249,-3840.035312,-2929.035645,-4967.293313
122,Satellite/10250,-3335.553928,-3199.863515,-5160.821382
123,Satellite/10251,-2805.686965,-3446.338493,-5315.072484
124,Satellite/10252,-2254.467031,-3666.584753,-5428.872675
125,Satellite/10253,-1686.08924,-3858.92609,-5501.355866
126,Satellite/10254,-1104.879293,-4021.898668,-5531.970418
127,Satellite/10255,-515.2605469,-4154.26217,-5520.483335
128,Satellite/10256,78.27964296,-4255.009228,-5466.98204
129,Satellite/10257,671.2240775,-4323.373096,-5371.873711
130,Satellite/10258,1259.060091,-4358.833485,-5235.882179
131,Satellite/10259,1837.313898,-4361.120519,-5060.042423
132,Satellite/10260,2401.584636,-4330.216793,-4845.692688
133,Satellite/10261,2947.577865,-4266.357502,-4594.464306
134,Satellite/10262,3471.138247,-4170.028654,-4308.269276
135,Satellite/10263,3968.281171,-4041.96337,-3989.285716
136,Satellite/10264,4435.223079,-3883.136305,-3639.941282
137,Satellite/10265,4868.410261,-3694.756227,-3262.894698
138,Satellite/10266,5264.545902,-3478.256824,-2861.015515
139,Satellite/10267,5620.615169,-3235.285786,-2437.362276
140,Satellite/10268,5933.908161,-2967.69227,-1995.159239
141,Satellite/10269,6202.040529,-2677.512823,-1537.771835
142,Satellite/10270,6422.971624,-2366.955888,-1068.681058
143,Satellite/10271,6595.020026,-2038.384988,-591.4569741
144,Satellite/10272,6716.876344,-1694.300749,-109.7315451
145,Satellite/10301,6828.225836,906.0763631,743.9633164
146,Satellite/10302,6702.998997,1258.168915,1218.991093
147,Satellite/10303,6526.758288,1600.686043,1684.741612
148,Satellite/10304,6300.845008,1931.020982,2137.670229
149,Satellite/10305,6026.978493,2246.659687,2574.329885
150,Satellite/10306,5707.243032,2545.199954,2991.397337
151,Satellite/10307,5344.072006,2824.369713,3385.698448
152,Satellite/10308,4940.229364,3082.044313,3754.23235
153,Satellite/10309,4498.788595,3316.262695,4094.194277
154,Satellite/10310,4023.109327,3525.242315,4402.996913
155,Satellite/10311,3516.811769,3707.392713,4678.290084
156,Satellite/10312,2983.749149,3861.327613,4917.978643
157,Satellite/10313,2427.978397,3985.875479,5120.238415
158,Satellite/10314,1853.729263,4080.088426,5283.530081
159,Satellite/10315,1265.37213,4143.249436,5406.610892
160,Satellite/10316,667.3847513,4174.877816,5488.54413
161,Satellite/10317,64.31817149,4174.732856,5528.706233
162,Satellite/10318,-539.2379084,4142.815657,5526.791544
163,Satellite/10319,-1138.690062,4079.36913,5482.814633
164,Satellite/10320,-1729.476097,3984.87614,5397.110193
165,Satellite/10321,-2307.099775,3860.055837,5270.330485
166,Satellite/10322,-2867.16503,3705.858178,5103.44038
167,Satellite/10323,-3405.409428,3523.456701,4897.710012
168,Satellite/10324,-3917.736604,3314.239591,4654.705114
169,Satellite/10325,-4400.247439,3079.799116,4376.275099
170,Satellite/10326,-4849.269734,2821.919511,4064.538988
171,Satellite/10327,-5261.386158,2542.563394,3721.869281
172,Satellite/10328,-5633.460257,2243.856834,3350.873901
173,Satellite/10329,-5962.660321,1928.073169,2954.376348
174,Satellite/10330,-6246.48094,1597.615703,2535.394207
175,Satellite/10331,-6482.762068,1254.999417,2097.116185
176,Satellite/10332,-6669.705462,902.8318271,1642.877843
177,Satellite/10333,-6805.888369,543.7931422,1176.136208
178,Satellite/10334,-6890.274357,180.6158631,700.4434668
179,Satellite/10335,-6922.221197,-183.9360118,219.4199277
180,Satellite/10336,-6901.485753,-547.0880225,-263.2735296
181,Satellite/10337,-6828.225836,-906.0763631,-743.9633164
182,Satellite/10338,-6702.998997,-1258.168915,-1218.991093
183,Satellite/10339,-6526.758288,-1600.686043,-1684.741612
184,Satellite/10340,-6300.845008,-1931.020982,-2137.670229
185,Satellite/10341,-6026.978493,-2246.659687,-2574.329885
186,Satellite/10342,-5707.243032,-2545.199954,-2991.397337
187,Satellite/10343,-5344.072006,-2824.369713,-3385.698448
188,Satellite/10344,-4940.229364,-3082.044313,-3754.23235
189,Satellite/10345,-4498.788595,-3316.262695,-4094.194277
190,Satellite/10346,-4023.109327,-3525.242315,-4402.996913
191,Satellite/10347,-3516.811769,-3707.392713,-4678.290084
192,Satellite/10348,-2983.749149,-3861.327613,-4917.978643
193,Satellite/10349,-2427.978397,-3985.875479,-5120.238415
194,Satellite/10350,-1853.729263,-4080.088426,-5283.530081
195,Satellite/10351,-1265.37213,-4143.249436,-5406.610892
196,Satellite/10352,-667.3847513,-4174.877816,-5488.54413
197,Satellite/10353,-64.31817149,-4174.732856,-5528.706233
198,Satellite/10354,539.2379084,-4142.815657,-5526.791544
199,Satellite/10355,1138.690062,-4079.36913,-5482.814633
200,Satellite/10356,1729.476097,-3984.87614,-5397.110193
201,Satellite/10357,2307.099775,-3860.055837,-5270.330485
202,Satellite/10358,2867.16503,-3705.858178,-5103.44038
203,Satellite/10359,3405.409428,-3523.456701,-4897.710012
204,Satellite/10360,3917.736604,-3314.239591,-4654.705114
205,Satellite/10361,4400.247439,-3079.799116,-4376.275099
206,Satellite/10362,4849.269734,-2821.919511,-4064.538988
207,Satellite/10363,5261.386158,-2542.563394,-3721.869281
208,Satellite/10364,5633.460257,-2243.856834,-3350.873901
209,Satellite/10365,5962.660321,-1928.073169,-2954.376348
210,Satellite/10366,6246.48094,-1597.615703,-2535.394207
211,Satellite/10367,6482.762068,-1254.999417,-2097.116185
212,Satellite/10368,6669.705462,-902.8318271,-1642.877843
213,Satellite/10369,6805.888369,-543.7931422,-1176.136208
214,Satellite/10370,6890.274357,-180.6158631,-700.4434668
215,Satellite/10371,6922.221197,183.9360118,-219.4199277
216,Satellite/10372,6901.485753,547.0880225,263.2735296
217,Satellite/10401,6130.992471,3028.884756,1111.715933
218,Satellite/10402,5875.738749,3313.422446,1579.889144
219,Satellite/10403,5575.767107,3572.74299,2036.038445
220,Satellite/10404,5233.360511,3804.872803,2476.692264
221,Satellite/10405,4851.124882,4008.045237,2898.496959
222,Satellite/10406,4431.969263,4180.714026,3298.242342
223,Satellite/10407,3979.083681,4321.565057,3672.88611
224,Satellite/10408,3495.914871,4429.526368,4019.576997
225,Satellite/10409,2986.140037,4503.776309,4335.676475
226,Satellite/10410,2453.638874,4543.749793,4618.778838
227,Satellite/10411,1902.464038,4549.142598,4866.729504
228,Satellite/10412,1336.810302,4519.91368,5077.641421
229,Satellite/10413,760.9826328,4456.28549,5249.90942
230,Satellite/10414,179.3634259,4358.742277,5382.222439
231,Satellite/10415,-403.620845,4228.026403,5473.573495
232,Satellite/10416,-983.5333175,4065.132695,5523.267352
233,Satellite/10417,-1555.960508,3871.300873,5530.925809
234,Satellite/10418,-2116.545899,3648.006114,5496.490581
235,Satellite/10419,-2661.023098,3396.947825,5420.223741
236,Satellite/10420,-3185.248304,3120.036713,5302.705726
